station_id,location_name,day,dtime,num_bikes_available,num_docks_available,capacity,bike_exist,dock_exist
72,One Broadway / Kendall Sq at Main St / 3rd St,5,86169,1,21,23,1,1
80,MIT Stata Center at Vassar St / Main St,5,82449,0,34,35,0,1
107,Ames St at Main St,6,2280,0,18,19,0,1
178,MIT Pacific St at Purrington St,6,1504,11,5,19,1,1
179,MIT Vassar St,6,2103,8,16,25,1,1
184,Sidney Research Campus/Erie Street at Waverly,6,1987,11,6,19,1,1
189,Kendall T,5,84121,1,20,23,1,1
318,Ames St at Broadway,5,78781,0,17,19,0,1
380,Mass Ave at Albany St,6,1801,7,11,18,1,1
471,MIT Carleton St at Amherst St,6,1980,2,24,27,1,1
472,MIT Hayward St at Amherst St,6,1984,8,19,27,1,1
479,Galileo Galilei Way at Main Street,5,79624,0,18,19,0,1
566,Main Street/Albany Street/Technology Square,6,2105,11,12,23,1,1
67,MIT at Mass Ave / Amherst St,6,2766,3,17,27,1,1
72,One Broadway / Kendall Sq at Main St / 3rd St,5,86169,1,21,23,1,1
80,MIT Stata Center at Vassar St / Main St,5,82449,0,34,35,0,1
107,Ames St at Main St,6,2280,0,18,19,0,1
178,MIT Pacific St at Purrington St,6,2649,12,4,19,1,1
179,MIT Vassar St,6,2103,8,16,25,1,1
184,Sidney Research Campus/Erie Street at Waverly,6,1987,11,6,19,1,1
189,Kendall T,5,84121,1,20,23,1,1
318,Ames St at Broadway,5,78781,0,17,19,0,1
380,Mass Ave at Albany St,6,2640,5,13,18,1,1
471,MIT Carleton St at Amherst St,6,2703,3,23,27,1,1
472,MIT Hayward St at Amherst St,6,2642,7,20,27,1,1
479,Galileo Galilei Way at Main Street,5,79624,0,18,19,0,1
566,Main Street/Albany Street/Technology Square,6,2105,11,12,23,1,1
67,MIT at Mass Ave / Amherst St,6,3189,4,16,27,1,1
72,One Broadway / Kendall Sq at Main St / 3rd St,5,86169,1,21,23,1,1
80,MIT Stata Center at Vassar St / Main St,5,82449,0,34,35,0,1
107,Ames St at Main St,6,3488,0,18,19,0,1
178,MIT Pacific St at Purrington St,6,3486,11,4,19,1,1
179,MIT Vassar St,6,3006,9,15,25,1,1
184,Sidney Research Campus/Erie Street at Waverly,6,1987,11,6,19,1,1
189,Kendall T,6,3187,2,19,23,1,1
318,Ames St at Broadway,5,78781,0,17,19,0,1
380,Mass Ave at Albany St,6,2640,5,13,18,1,1
471,MIT Carleton St at Amherst St,6,2703,3,23,27,1,1
472,MIT Hayward St at Amherst St,6,2642,7,20,27,1,1
479,Galileo Galilei Way at Main Street,5,79624,0,18,19,0,1
566,Main Street/Albany Street/Technology Square,6,2105,11,12,23,1,1
67,MIT at Mass Ave / Amherst St,6,3189,4,16,27,1,1
72,One Broadway / Kendall Sq at Main St / 3rd St,5,86169,1,21,23,1,1
80,MIT Stata Center at Vassar St / Main St,5,82449,0,34,35,0,1
107,Ames St at Main St,6,3488,0,18,19,0,1
178,MIT Pacific St at Purrington St,6,3545,11,5,19,1,1
179,MIT Vassar St,6,3968,8,16,25,1,1
184,Sidney Research Campus/Erie Street at Waverly,6,3966,10,7,19,1,1
189,Kendall T,6,3960,1,20,23,1,1
318,Ames St at Broadway,5,78781,0,17,19,0,1
380,Mass Ave at Albany St,6,2640,5,13,18,1,1
471,MIT Carleton St at Amherst St,6,2703,3,23,27,1,1
472,MIT Hayward St at Amherst St,6,2642,7,20,27,1,1
479,Galileo Galilei Way at Main Street,5,79624,0,18,19,0,1
566,Main Street/Albany Street/Technology Square,6,3846,10,13,23,1,1
